u,v,R,G,B
20,21,255,1,1
20,22,255,1,1
20,23,255,1,1
20,24,255,1,1
20,25,255,1,1
20,26,255,1,1
21,22,255,1,1
21,26,255,1,1
21,27,255,38,38
21,28,255,85,85
21,29,255,38,38
22,23,255,1,1
22,29,255,38,38
22,30,255,85,85
22,31,255,38,38
23,24,255,1,1
23,31,255,38,38
23,32,255,85,85
23,33,255,38,38
24,25,255,1,1
24,33,255,38,38
24,34,255,85,85
24,35,255,38,38
25,26,255,0,0
25,35,255,38,38
25,36,255,85,85
25,37,255,38,38
26,27,255,38,38
26,37,255,38,38
26,38,255,85,85
27,28,255,1,1
27,38,255,1,1
28,29,255,1,1
29,30,255,1,1
30,31,255,1,1
31,32,255,1,1
32,33,255,1,1
33,34,255,1,1
34,35,255,1,1
35,36,255,1,1
36,37,255,1,1
37,38,255,1,1
